alternate_sales_number,facilities,geocoded_latitude,geocoded_longitude,internet_bell,internet_bell_fibre,internet_bell_vdsl,internet_cogeco,internet_execulink_bellcolo,internet_execulink_cable,internet_execulink_copper,internet_execulink_dialup,internet_execulink_fibre,internet_execulink_wireless,internet_rogers,mobility_execulink,murb_n,murb_y,original_address,phone_execulink_bellcolo,phone_execulink_cable,phone_execulink_copper,phone_execulink_digital,phone_execulink_fibre,row_index,security_execulink,tpia,tv_available,tv_execulink_cable,tv_execulink_copper,tv_execulink_fibre,tv_execulink_hls
1-866-706-1991,0,43.7011636,-79.81197750000001,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"17 WOODVALLEY, BRAMPTON, ON",0,0,0,1,0,28,0,1,1,0,0,0,1
1-866-706-1991,0,43.7184171,-79.7867034,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"23 EBBY, BRAMPTON, ON",0,0,0,1,0,30,0,1,1,0,0,0,1
1-866-706-1991,0,43.7105509,-79.7861779,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"39 SUNFOREST, BRAMPTON, ON",0,0,0,1,0,32,0,1,1,0,0,0,1
1-866-706-1991,0,43.7148964,-79.7839532,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"129 WEXFORD, BRAMPTON, ON",0,0,0,1,0,31,0,1,1,0,0,0,1
1-866-706-1991,0,43.7097665,-79.7859781,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"39 CASHEL, BRAMPTON, ON",0,0,0,1,0,34,0,1,1,0,0,0,1
1-866-706-1991,0,43.70956229999999,-79.7862626,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"33 CASHEL, BRAMPTON, ON",0,0,0,1,0,33,0,1,1,0,0,0,1
1-866-706-1991,0,43.7094003,-79.7851909,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"18 SUNFOREST, BRAMPTON, ON",0,0,0,1,0,35,0,1,1,0,0,0,1
1-866-706-1991,0,43.7217806,-79.7904697,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"206 CONESTOGA, BRAMPTON, ON",0,0,0,1,0,37,0,1,1,0,0,0,1
1-866-706-1991,0,43.7215785,-79.7907563,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"2 CREEKVIEW, BRAMPTON, ON",0,0,0,1,0,36,0,1,1,0,0,0,1
1-866-706-1991,0,43.7194864,-79.79356419999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"14 DALZELL, BRAMPTON, ON",0,0,0,1,0,38,0,1,1,0,0,0,1
1-866-706-1991,0,43.6947628,-79.8165696,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"118 PENBRIDGE, BRAMPTON, ON",0,0,0,1,0,41,0,1,1,0,0,0,1
1-866-706-1991,0,43.6951888,-79.8156886,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"14 DUFFIELD, BRAMPTON, ON",0,0,0,1,0,40,0,1,1,0,0,0,1
1-866-706-1991,0,43.6936664,-79.81510159999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"35 SEDGEWICK, BRAMPTON, ON",0,0,0,1,0,44,0,1,1,0,0,0,1
1-866-706-1991,0,43.7108378,-79.7897945,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"154 DUMFRIES, BRAMPTON, ON",0,0,0,1,0,39,0,1,1,0,0,0,1
1-866-706-1991,0,43.699013,-79.8041819,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"36 SUNNYBROOK, BRAMPTON, ON",0,0,0,1,0,45,0,1,1,0,0,0,1
1-866-706-1991,0,43.71231330000001,-79.788202,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"79 SUNFOREST, BRAMPTON, ON",0,0,0,1,0,47,0,1,1,0,0,0,1
1-866-706-1991,0,43.7118917,-79.7876896,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"69 SUNFOREST, BRAMPTON, ON",0,0,0,1,0,46,0,1,1,0,0,0,1
1-866-706-1991,0,43.7023541,-79.8148246,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"19 GOLD PARK, BRAMPTON, ON",0,0,0,1,0,48,0,1,1,0,0,0,1
1-866-706-1991,0,43.6978637,-79.8052031,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"50 QUEEN MARY, BRAMPTON, ON",0,0,0,1,0,50,0,1,1,0,0,0,1
1-866-706-1991,0,43.6947756,-79.80525589999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"3 VALLEYPARK, BRAMPTON, ON",0,0,0,1,0,49,0,1,1,0,0,0,1
1-866-706-1991,0,43.6963616,-79.8208916,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"40 HEARTLEAF, BRAMPTON, ON",0,0,0,1,0,51,0,1,1,0,0,0,1
1-866-706-1991,0,43.6953527,-79.8063635,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"29 BRIARCROFT, BRAMPTON, ON",0,0,0,1,0,54,0,1,1,0,0,0,1
1-866-706-1991,0,43.704404,-79.8110809,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"35 WOODHAVEN, BRAMPTON, ON",0,0,0,1,0,43,0,1,1,0,0,0,1
1-866-706-1991,0,43.6976329,-79.8205236,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"79 HEARTLEAF, BRAMPTON, ON",0,0,0,1,0,53,0,1,1,0,0,0,1
1-866-706-1991,0,43.6954086,-79.81649809999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"63 PENBRIDGE, BRAMPTON, ON",0,0,0,1,0,42,0,1,1,0,0,0,1
1-866-706-1991,0,43.7098516,-79.786721,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"42 CASHEL, BRAMPTON, ON",0,0,0,1,0,55,0,1,1,0,0,0,1
1-866-706-1991,0,43.6969991,-79.82126,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"63 HEARTLEAF, BRAMPTON, ON",0,0,0,1,0,52,0,1,1,0,0,0,1
1-866-706-1991,0,43.71589669999999,-79.78291949999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"159 WEXFORD, BRAMPTON, ON",0,0,0,1,0,56,0,1,1,0,0,0,1
1-866-706-1991,0,43.7152255,-79.78442129999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"130 WEXFORD, BRAMPTON, ON",0,0,0,1,0,57,0,1,1,0,0,0,1
1-866-706-1991,0,43.715565,-79.7840157,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"138 WEXFORD, BRAMPTON, ON",0,0,0,1,0,58,0,1,1,0,0,0,1
1-866-706-1991,0,43.7028297,-79.8104161,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"17 HEATHWOOD, BRAMPTON, ON",0,0,0,1,0,59,0,1,1,0,0,0,1
1-866-706-1991,0,43.7199195,-79.7851663,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"64 JAY, BRAMPTON, ON",0,0,0,1,0,60,0,1,1,0,0,0,1
1-866-706-1991,0,43.699631,-79.8072558,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"4 TOPIARY, BRAMPTON, ON",0,0,0,1,0,61,0,1,1,0,0,0,1
1-866-706-1991,0,43.6988348,-79.8055529,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"70 QUEEN MARY, BRAMPTON, ON",0,0,0,1,0,62,0,1,1,0,0,0,1
1-866-706-1991,0,43.6945524,-79.815207,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"12 SEDGEWICK, BRAMPTON, ON",0,0,0,1,0,63,0,1,1,0,0,0,1
1-866-706-1991,0,43.7172979,-79.7857515,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"36 COLCHESTER, BRAMPTON, ON",0,0,0,1,0,64,0,1,1,0,0,0,1
1-866-706-1991,0,43.72160909999999,-79.785985,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"31 MUSKOKA, BRAMPTON, ON",0,0,0,1,0,65,0,1,1,0,0,0,1
1-866-706-1991,0,43.7006152,-79.8162577,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"43 NINA, BRAMPTON, ON",0,0,0,1,0,66,0,1,1,0,0,0,1
1-866-706-1991,0,43.7220726,-79.78606769999999,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"44 SILVERSTREAM, BRAMPTON, ON",0,0,0,1,0,67,0,1,1,0,0,0,1
1-866-706-1991,0,43.7216826,-79.7854026,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"32 SILVERSTREAM, BRAMPTON, ON",0,0,0,1,0,68,0,1,1,0,0,0,1
1-866-706-1991,0,43.7000626,-79.80667509999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"94 QUEEN MARY, BRAMPTON, ON",0,0,0,1,0,69,0,1,1,0,0,0,1
1-866-706-1991,0,43.7147376,-79.7920133,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"8 CORONATION, BRAMPTON, ON",0,0,0,1,0,70,0,1,1,0,0,0,1
1-866-706-1991,0,43.7144058,-79.79183549999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"121 SUNFOREST, BRAMPTON, ON",0,0,0,1,0,71,0,1,1,0,0,0,1
1-866-706-1991,0,43.7196563,-79.7846739,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"67 DONNA, BRAMPTON, ON",0,0,0,1,0,72,0,1,1,0,0,0,1
1-866-706-1991,0,43.7141495,-79.7821051,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"2 METZAK, BRAMPTON, ON",0,0,0,1,0,73,0,1,1,0,0,0,1
1-866-706-1991,0,43.7174019,-79.7823098,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"195 WEXFORD, BRAMPTON, ON",0,0,0,1,0,74,0,1,1,0,0,0,1
1-866-706-1991,0,43.7194286,-79.7873403,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"22 JAY, BRAMPTON, ON",0,0,0,1,0,75,0,1,1,0,0,0,1
1-866-706-1991,0,43.71971,-79.78614999999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"46 JAY, BRAMPTON, ON",0,0,0,1,0,76,0,1,1,0,0,0,1
1-866-706-1991,0,43.7156807,-79.79541739999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"58 CORONATION, BRAMPTON, ON",0,0,0,1,0,77,0,1,1,0,0,0,1
1-866-706-1991,0,43.6983664,-79.8121288,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"53 BONISTEL, BRAMPTON, ON",0,0,0,1,0,78,0,1,1,0,0,0,1
1-866-706-1991,0,43.7197531,-79.788243,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"9 JAY, BRAMPTON, ON",0,0,0,1,0,79,0,1,1,0,0,0,1
1-866-706-1991,0,43.6959272,-79.8210027,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"56 PEACHLEAF, BRAMPTON, ON",0,0,0,1,0,80,0,1,1,0,0,0,1
1-866-706-1991,0,43.7189687,-79.7928763,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"29 MITCHELL, BRAMPTON, ON",0,0,0,1,0,81,0,1,1,0,0,0,1
1-866-706-1991,0,43.7161166,-79.7779094,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"90 WHITEHAVEN, BRAMPTON, ON",0,0,0,1,0,82,0,1,1,0,0,0,1
1-866-706-1991,0,43.7092426,-79.79085789999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"26 DARNOCK, BRAMPTON, ON",0,0,0,1,0,83,0,1,1,0,0,0,1
1-866-706-1991,0,43.7087114,-79.79015249999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"18 DARNOCK, BRAMPTON, ON",0,0,0,1,0,84,0,1,1,0,0,0,1
1-866-706-1991,0,43.7213482,-79.7931262,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"52 SPRUCEDALE, BRAMPTON, ON",0,0,0,1,0,85,0,1,1,0,0,0,1
1-866-706-1991,0,43.71511599999999,-79.7972741,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"6 HELIOS, BRAMPTON, ON",0,0,0,1,0,86,0,1,1,0,0,0,1
1-866-706-1991,0,43.70206700000001,-79.8147475,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"3 SIR DAVID, BRAMPTON, ON",0,0,0,1,0,87,0,1,1,0,0,0,1
1-866-706-1991,0,43.7202962,-79.7942387,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"72 SUTTER, BRAMPTON, ON",0,0,0,1,0,88,0,1,1,0,0,0,1
1-866-706-1991,0,43.695056,-79.8045595,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"13 VALLEYPARK, BRAMPTON, ON",0,0,0,1,0,89,0,1,1,0,0,0,1
1-866-706-1991,0,43.6959233,-79.804875,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"34 QUEEN MARY, BRAMPTON, ON",0,0,0,1,0,90,0,1,1,0,0,0,1
1-866-706-1991,0,43.6985019,-79.803868,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"26 SUNNYBROOK, BRAMPTON, ON",0,0,0,1,0,91,0,1,1,0,0,0,1
1-866-706-1991,0,43.7158918,-79.78181769999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"39 METZAK, BRAMPTON, ON",0,0,0,1,0,92,0,1,1,0,0,0,1
1-866-706-1991,0,43.7160692,-79.7817393,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"4 NOEL, BRAMPTON, ON",0,0,0,1,0,93,0,1,1,0,0,0,1
1-866-706-1991,0,43.6938318,-79.811954,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"48 SAWSTON, BRAMPTON, ON",0,0,0,1,0,94,0,1,1,0,0,0,1
1-866-706-1991,0,43.702883,-79.81186559999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"169 QUEEN MARY, BRAMPTON, ON",0,0,0,1,0,95,0,1,1,0,0,0,1
1-866-706-1991,0,43.694862,-79.8141126,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"18 TREGATE, BRAMPTON, ON",0,0,0,1,0,96,0,1,1,0,0,0,1
1-866-706-1991,0,43.6975011,-79.80964709999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"106 BONISTEL, BRAMPTON, ON",0,0,0,1,0,97,0,1,1,0,0,0,1
1-866-706-1991,0,43.6982845,-79.8186209,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"162 EDENBROOK HILL, BRAMPTON, ON",0,0,0,1,0,98,0,1,1,0,0,0,1
1-866-706-1991,0,43.71586569999999,-79.7781198,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"48 BEISEL, BRAMPTON, ON",0,0,0,1,0,99,0,1,1,0,0,0,1
1-866-706-1991,0,43.7160879,-79.778469,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"42 BEISEL, BRAMPTON, ON",0,0,0,1,0,100,0,1,1,0,0,0,1
1-866-706-1991,0,43.7157782,-79.79773809999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"10 LUMINOUS, BRAMPTON, ON",0,0,0,1,0,101,0,1,1,0,0,0,1
1-866-706-1991,0,43.7225091,-79.7918268,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"6 CHEAM, BRAMPTON, ON",0,0,0,1,0,102,0,1,1,0,0,0,1
1-866-706-1991,0,43.7110521,-79.7891415,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"166 DUMFRIES, BRAMPTON, ON",0,0,0,1,0,103,0,1,1,0,0,0,1
1-866-706-1991,0,43.7186804,-79.785266,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"53 EBBY, BRAMPTON, ON",0,0,0,1,0,104,0,1,1,0,0,0,1
1-866-706-1991,0,43.7096197,-79.7882961,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"14 CASHEL, BRAMPTON, ON",0,0,0,1,0,105,0,1,1,0,0,0,1
1-866-706-1991,0,43.70962919999999,-79.7884351,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"12 CASHEL, BRAMPTON, ON",0,0,0,1,0,106,0,1,1,0,0,0,1
1-866-706-1991,0,43.7096785,-79.7899365,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"118 DUMFRIES, BRAMPTON, ON",0,0,0,1,0,107,0,1,1,0,0,0,1
1-866-706-1991,0,43.7415796,-79.7538976,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"165 FERNFOREST, BRAMPTON, ON",0,0,0,1,0,108,0,1,1,0,0,0,1
1-866-706-1991,0,43.7503811,-79.75904779999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"26 BUTTERCUP, BRAMPTON, ON",0,0,0,1,0,109,0,1,1,0,0,0,1
1-866-706-1991,0,43.7502044,-79.75924189999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"32 BUTTERCUP, BRAMPTON, ON",0,0,0,1,0,110,0,1,1,0,0,0,1
1-866-706-1991,0,43.7480953,-79.7591151,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"18 DEERGLEN, BRAMPTON, ON",0,0,0,1,0,111,0,1,1,0,0,0,1
1-866-706-1991,0,43.7471751,-79.76353189999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"33 RED CEDAR, BRAMPTON, ON",0,0,0,1,0,112,0,1,1,0,0,0,1
1-866-706-1991,0,43.7417623,-79.7614756,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"94 BLACK OAK, BRAMPTON, ON",0,0,0,1,0,113,0,1,1,0,0,0,1
1-866-706-1991,0,43.743264,-79.76437349999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"63 CHIPMUNK, BRAMPTON, ON",0,0,0,1,0,114,0,1,1,0,0,0,1
1-866-706-1991,0,43.743229,-79.7644325,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"65 CHIPMUNK, BRAMPTON, ON",0,0,0,1,0,115,0,1,1,0,0,0,1
1-866-706-1991,0,43.7382579,-79.7551393,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"115 SECLUSION, BRAMPTON, ON",0,0,0,1,0,116,0,1,1,0,0,0,1
1-866-706-1991,0,43.738888,-79.75932949999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"37 RANGELAND, BRAMPTON, ON",0,0,0,1,0,117,0,1,1,0,0,0,1
1-866-706-1991,0,43.7205755,-79.7807366,0,1,0,0,0,0,0,0,0,0,1,0,1,0,"38 SOLWAY, BRAMPTON, ON",0,0,0,1,0,119,0,1,1,0,0,0,1
1-866-706-1991,0,43.6945404,-79.817965,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"27 PENBRIDGE, BRAMPTON, ON",0,0,0,1,0,118,0,1,1,0,0,0,1
1-866-706-1991,0,43.7459794,-79.7594884,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"23 BLUE OAK, BRAMPTON, ON",0,0,0,1,0,120,0,1,1,0,0,0,1
1-866-706-1991,0,43.7518199,-79.7241311,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"10 AMAZON, BRAMPTON, ON",0,0,0,1,0,121,0,1,1,0,0,0,1
1-866-706-1991,0,43.741015,-79.76065899999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"56 BLUE SPRUCE, BRAMPTON, ON",0,0,0,1,0,122,0,1,1,0,0,0,1
1-866-706-1991,0,43.7207848,-79.7812921,0,1,0,0,0,0,0,0,0,0,1,0,1,0,"6 PENRITH, BRAMPTON, ON",0,0,0,1,0,123,0,1,1,0,0,0,1
1-866-706-1991,0,43.7222178,-79.7834376,0,1,0,0,0,0,0,0,0,0,1,0,1,0,"47 CHEVIOT, BRAMPTON, ON",0,0,0,1,0,124,0,1,1,0,0,0,1
1-866-706-1991,0,43.7464998,-79.76650649999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"110 RAINFOREST, BRAMPTON, ON",0,0,0,1,0,125,0,1,1,0,0,0,1
1-866-706-1991,0,43.7454206,-79.7641459,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"69 RAINFOREST, BRAMPTON, ON",0,0,0,1,0,126,0,1,1,0,0,0,1
1-866-706-1991,0,43.74553179999999,-79.764241,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"71 RAINFOREST, BRAMPTON, ON",0,0,0,1,0,127,0,1,1,0,0,0,1
1-866-706-1991,0,43.723246,-79.7812616,0,1,0,0,0,0,0,0,0,0,1,0,1,0,"89 CHEVIOT, BRAMPTON, ON",0,0,0,1,0,128,0,1,1,0,0,0,1
1-866-706-1991,0,43.743662,-79.7590489,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"34 BLACK OAK, BRAMPTON, ON",0,0,0,1,0,129,0,1,1,0,0,0,1
1-866-706-1991,0,43.7463867,-79.76482899999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"54 HOLLYBUSH, BRAMPTON, ON",0,0,0,1,0,130,0,1,1,0,0,0,1
1-866-706-1991,0,43.6934479,-79.8090441,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"22 PACKHAM, BRAMPTON, ON",0,0,0,1,0,131,0,1,1,0,0,0,1
1-866-706-1991,0,43.7416788,-79.7633571,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"143 CHIPMUNK, BRAMPTON, ON",0,0,0,1,0,132,0,1,1,0,0,0,1
1-866-706-1991,0,43.7206038,-79.77862549999999,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"178 RICHVALE, BRAMPTON, ON",0,0,0,1,0,134,0,1,1,0,0,0,1
1-866-706-1991,0,43.7477583,-79.76479810000001,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"155 RAINFOREST, BRAMPTON, ON",0,0,0,1,0,133,0,1,1,0,0,0,1
